"global_id";"stop_id";"stop_name";"StationName";"Street";"Direction";"Pavilion";"OperatingOrgName";"geoData";"geodata_center";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"geoData";"geodata_center";
"835503875";"3044";"Метро «Тульская» (южн.)";"";"";"";"";"";"{coordinates=[37.62170311, 55.7089038], type=Point}";"{coordinates=[37.62170311, 55.7089038], type=Point}";
"2583703093";"1009734";"Метро «Черкизовская»";"";"";"";"";"";"{coordinates=[37.74501804, 55.80216388], type=Point}";"{coordinates=[37.74501804, 55.80216388], type=Point}";
"2583703094";"1009907";"МФЦ Нагатино-Садовники";"";"";"";"";"";"{coordinates=[37.62951079, 55.68118771], type=Point}";"{coordinates=[37.62951079, 55.68118771], type=Point}";
"2583703096";"1009735";"Метро «Черкизовская»";"";"";"";"";"";"{coordinates=[37.74523281, 55.80208643], type=Point}";"{coordinates=[37.74523281, 55.80208643], type=Point}";
"2583703098";"1009740";"Поворот на Новокурьяново";"";"";"";"";"";"{coordinates=[37.53969919, 55.51463263], type=Point}";"{coordinates=[37.53969919, 55.51463263], type=Point}";
"2583703100";"1009739";"Поворот на Новокурьяново";"";"";"";"";"";"{coordinates=[37.53941134, 55.51457679], type=Point}";"{coordinates=[37.53941134, 55.51457679], type=Point}";
"2583703102";"1009741";"Староникольское";"";"";"";"";"";"{coordinates=[37.54673493, 55.51175897], type=Point}";"{coordinates=[37.54673493, 55.51175897], type=Point}";
"2583703103";"1009952";"Моспроектовец";"";"";"";"";"";"{coordinates=[37.2264087, 55.3135746], type=Point}";"{coordinates=[37.2264087, 55.3135746], type=Point}";
"2583703104";"1009742";"Староникольское";"";"";"";"";"";"{coordinates=[37.5486971, 55.51096184], type=Point}";"{coordinates=[37.5486971, 55.51096184], type=Point}";
"2583703105";"1009953";"Улица Эдварда Грига";"";"";"";"";"";"{coordinates=[37.51159991, 55.55366596], type=Point}";"{coordinates=[37.51159991, 55.55366596], type=Point}";
"2583703106";"1009816";"Метромост";"";"";"";"";"";"{coordinates=[37.66696851, 55.68532717], type=Point}";"{coordinates=[37.66696851, 55.68532717], type=Point}";
"2583703107";"1009954";"Белые Ночи";"";"";"";"";"";"{coordinates=[37.51146216, 55.55261139], type=Point}";"{coordinates=[37.51146216, 55.55261139], type=Point}";
"2583703108";"1009766";"Река Алёшинка";"";"";"";"";"";"{coordinates=[37.34498912, 55.65170459], type=Point}";"{coordinates=[37.34498912, 55.65170459], type=Point}";
"2583703109";"1009955";"Марьино Град";"";"";"";"";"";"{coordinates=[37.34435237, 55.55398853], type=Point}";"{coordinates=[37.34435237, 55.55398853], type=Point}";
"2583703110";"1009763";"6-й микрорайон";"";"";"";"";"";"{coordinates=[37.53711379, 55.63838804], type=Point}";"{coordinates=[37.53711379, 55.63838804], type=Point}";
"2583703111";"1009956";"Бульвар Веласкеса";"";"";"";"";"";"{coordinates=[37.45385847, 55.59245656], type=Point}";"{coordinates=[37.45385847, 55.59245656], type=Point}";
"2583703112";"1009803";"Улица Егора Абакумова";"";"";"";"";"";"{coordinates=[37.71959248, 55.87701291], type=Point}";"{coordinates=[37.71959248, 55.87701291], type=Point}";
"2583703113";"1009817";"Метро «Ховрино»";"";"";"";"";"";"{coordinates=[37.48011345, 55.87805698], type=Point}";"{coordinates=[37.48011345, 55.87805698], type=Point}";
"2583703114";"1009957";"Бульвар Веласкеса";"";"";"";"";"";"{coordinates=[37.45326249, 55.59244878], type=Point}";"{coordinates=[37.45326249, 55.59244878], type=Point}";
"2583703115";"1009818";"Метро «Ховрино»";"";"";"";"";"";"{coordinates=[37.47977091, 55.87870114], type=Point}";"{coordinates=[37.47977091, 55.87870114], type=Point}";
"2583703116";"1009958";"Испанские Кварталы";"";"";"";"";"";"{coordinates=[37.4578308, 55.59437199], type=Point}";"{coordinates=[37.4578308, 55.59437199], type=Point}";
"2583703117";"1009959";"МЦД Перерва";"";"";"";"";"";"{coordinates=[37.7174147, 55.6633643], type=Point}";"{coordinates=[37.7174147, 55.6633643], type=Point}";
"2583703118";"1009853";"Чечёрский проезд, 126";"";"";"";"";"";"{coordinates=[37.51589239, 55.52508136], type=Point}";"{coordinates=[37.51589239, 55.52508136], type=Point}";
"2583703119";"1009854";"Чечёрский проезд, 126";"";"";"";"";"";"{coordinates=[37.51557257, 55.52405463], type=Point}";"{coordinates=[37.51557257, 55.52405463], type=Point}";
"2583703120";"1009960";"МЦД Перерва";"";"";"";"";"";"{coordinates=[37.71698846, 55.66357085], type=Point}";"{coordinates=[37.71698846, 55.66357085], type=Point}";
